ui_archers_control|Marksmen!
ui_cavalry_control|Speeder Bikes!
ui_horse|Speeder Bike
ui_notification_riding_skill_not_enough|Your riding skill is not high enough to mount this speeder bike.
ui_cant_reload_this_weapon_on_horseback|Can't reload this weapon while riding.
ui_no_more_bolts|No more ammo...
ui_you_are_not_carrying_any_bolts|You are not carrying any ammo.
ui_no_more_arrows|No more ammo...
ui_you_are_not_carrying_any_arrows|You are not carrying any ammo.
ui_delivered_number_damage_to_horse|Delivered %d damage to speeder bike.
ui_horse_charged_for_number_damage|Speeder bike caused %d damage.
ui_horse_received_number_damage|Speeder bike received %d damage.
ui_horse_fell_dead|Speeder bike is totaled...
ui_horse_crippled|Speeder bike is damaged...
ui_order_dismount_toggle|Order Dismount/Mount speeder bikes (Toggle)
ui_mount_horses_e_|%s, Mount speeder bikes!
ui_cannot_be_used_on_horseback|Cannot be used while riding
ui_value_denars|%d credits
ui_archers|Marksmen
ui_cavalry|Speeder Bikes
ui_version_value|Version: 0.9.0.3
ui_hint|Quote
ui_archery|Force Power
ui_explanation_archery|Covers usage of Force Powers.
ui_crossbows|Rifles
ui_explanation_crossbow|Covers usage of blaster rifles.
ui_firearms|Pistols
ui_explanation_firearms|Covers usage of blaster pistols.
ui_start_tutorial|Enter the Training Room
ui_start_a_new_game|Begin a Galactic Conquest
ui_restore_a_saved_game|Continue a Galactic Conquest
ui_custom_battle|Play a Quick Battle
ui_options|Options
ui_credits|Credits
ui_exit_to_windows|Exit to Windows

ui_camp|Stationing

ui_start_tutorial|Enter the Training Room
ui_start_a_new_game|Galactic Conquest
ui_restore_a_saved_game|Continue Game
ui_custom_battle|Quick Battle
ui_options|Options
ui_credits|Credits
ui_exit_to_windows|Exit Game
ui_version_value|Version 0.9.4-final

ui_upgrade_to_value| Upgrade to %s
ui_notification_cant_upgrade|(Can't upgrade while giving troops)

ui_troop_upgrades|TroopTree

ui_cut|Cutting
ui_pierce|Piercing
ui_blunt|Blunt
ui_use_melee_weapons_e_|%s, use melee weapons!
ui_use_ranged_weapons_e_|%s, use ranged weapons!
ui_order_button_use_melee_weapons|Use melee weapons
ui_order_button_use_ranged_weapons|Use ranged weapons
ui_order_button_weapon_usage_orders|Weapon usage orders
ui_fire_at_my_command_e_|%s, fire at my command!
ui_fire_now_e_|%s, fire!
ui_order_button_fire_at_my_command|Fire at my command
ui_order_button_fire_now|Fire
ui_order_form_1_row|Form 1 row
ui_order_form_2_row|Form 2 rows
ui_order_form_3_row|Form 3 rows
ui_order_form_4_row|Form 4 rows
ui_order_form_5_row|Form 5 rows
ui_form_1_row_e_|%s, form 1 row!
ui_form_2_row_e_|%s, form 2 rows!
ui_form_3_row_e_|%s, form 3 rows!
ui_form_4_row_e_|%s, form 4 rows!
ui_form_5_row_e_|%s, form 5 rows!
ui_order_7|Select Order 7
ui_order_8|Select Order 8
ui_all_fire_now_e_|%s, volley fire!
ui_left_fire_now_e_|%s, left flank volley fire!
ui_middle_fire_now_e_|%s, middle group volley fire!
ui_right_fire_now_e_|%s, right flank volley fire!
ui_order_button_all_fire_now|All volley fire
ui_order_button_left_fire_now|Left flank volley fire
ui_order_button_middle_fire_now|Middle group volley fire
ui_order_button_right_fire_now|Right flank volley fire
ui_crouch|Crouch
